#{"t_start": 1781071071.864104, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,528,145.881349
2.0,747,146.230695
0.0,540,146.494634
4.0,1204,147.10152
2.0,813,147.471971
4.0,1296,148.140484
0.0,507,148.378106
0.0,539,148.629069
5.0,1406,149.367144
3.0,1008,149.865104
1.0,713,150.188457
0.0,524,150.430847
6.0,1452,151.170675
4.0,1208,151.723779
1.0,640,152.014871
0.0,499,152.251248
4.0,1182,152.788982
0.0,533,153.017652
0.0,521,153.240465
0.0,516,153.484962
1.0,621,153.739836
0.0,508,153.950907
0.0,524,154.164685
0.0,527,154.394804
0.0,527,154.644585
0.0,541,154.896458
0.0,541,155.131837
0.0,507,155.393144
1.0,697,155.714586
0.0,524,155.97713
1.0,636,156.314093
2.0,829,156.748724
2.0,832,157.178897
1.0,723,157.569495
2.0,849,157.978775
4.0,1206,158.59506
3.0,939,159.074629
0.0,501,159.325517
2.0,760,159.717283
3.0,1017,160.199534
0.0,519,160.463836
0.0,524,160.717627
2.0,809,161.135525
0.0,524,161.377918
2.0,834,161.772769
7.0,1792,162.641682
0.0,519,162.889261
0.0,515,163.127808
0.0,528,163.351302
4.0,1123,164.713222
2.0,790,165.0919
0.0,527,165.313827
0.0,513,165.528665
1.0,735,165.85118
5.0,1414,166.513791
3.0,1004,167.015402
1.0,712,167.316754
0.0,512,167.554173
2.0,836,167.957111
0.0,505,168.186481
0.0,532,168.42571
0.0,527,168.650915
9.0,1620,169.429047
2.0,836,169.834162
1.0,723,170.198197
6.0,1618,171.046106
0.0,517,171.293061
5.0,1430,172.034704
5.0,1336,172.720376
0.0,523,172.112092
0.0,535,172.364866
1.0,694,172.716189
4.0,1296,173.352227
0.0,525,173.605173
2.0,811,174.002097
0.0,537,174.25674
0.0,515,174.506093
2.0,809,174.954849
5.0,1267,175.650915
1.0,706,176.02843
2.0,826,176.442147
0.0,536,176.681961
4.0,1208,177.264808
13.0,1840,178.150337
0.0,519,178.404324
0.0,525,178.631793
5.0,1400,179.277485
2.0,899,179.691018
0.0,533,179.932922
3.0,946,180.393478
5.0,1252,180.99322
2.0,818,181.365947
3.0,969,181.830669
0.0,520,182.072945
8.0,1530,182.809629
3.0,962,183.250247
1.0,711,183.582714
4.0,1208,184.212943
0.0,512,184.452742
0.0,504,184.691369
3.0,1120,185.255097
2.0,813,185.669133
6.0,1628,186.50691
2.0,813,186.927913
2.0,886,187.425999
1.0,699,187.810503
3.0,1021,188.406791
2.0,821,188.817212
1.0,629,189.100979
3.0,1020,189.626842
2.0,832,190.04327
0.0,509,190.291117
7.0,1100,190.848561
6.0,1612,191.685944
2.0,769,192.055391
5.0,1280,192.654331
6.0,1611,193.405837
0.0,525,193.631733
0.0,514,193.870774
9.0,1636,194.673309
2.0,829,195.050906
10.0,1814,195.952929
7.0,1306,196.583825
2.0,829,196.992271
2.0,747,197.342939
3.0,1025,197.831623
4.0,1004,198.31927
0.0,509,198.55495
0.0,527,198.798037
1.0,641,199.124609
0.0,532,199.383446
2.0,766,199.766675
2.0,810,200.187519
5.0,1292,200.828945
0.0,517,201.103256
4.0,1076,201.632993
2.0,810,202.006233
1.0,625,202.301654
2.0,758,202.664825
4.0,1163,203.271006
0.0,527,203.499631
3.0,1100,204.053411
3.0,950,203.700335
2.0,839,204.132946
7.0,1656,205.047787
0.0,523,205.295985
7.0,1722,206.153469
1.0,720,206.486383
5.0,1418,207.182144
4.0,1125,207.735067
0.0,511,207.962639
4.0,1146,208.494891
2.0,893,208.907156
1.0,637,209.201473
7.0,1300,209.841036
0.0,515,210.074177
2.0,820,210.442546
2.0,831,210.834323
1.0,636,211.151884
2.0,817,211.543469
0.0,514,211.793664
1.0,700,212.130099
4.0,1098,212.646759
2.0,827,213.004211
2.0,880,213.451898
5.0,1406,214.240869
2.0,828,214.633304
0.0,532,214.868303
3.0,888,215.326306
1.0,727,216.520688
3.0,938,216.976824
0.0,537,217.218272
0.0,516,217.466361
2.0,831,217.887701
0.0,513,218.151021
4.0,1156,218.78422
7.0,1784,219.697664
4.0,1286,220.316272
5.0,1451,221.023614
1.0,693,221.3506
0.0,512,221.603074
3.0,967,222.068716
4.0,1196,222.644436
9.0,1989,223.629324
1.0,708,223.951441
1.0,629,224.230171
6.0,1534,224.957138
6.0,1630,225.741279
1.0,701,226.068894
0.0,529,226.282447
2.0,817,226.685128
1.0,711,227.002975
1.0,717,227.312009
1.0,708,227.636711
2.0,900,228.029574
5.0,1308,228.663296
2.0,839,229.055331
2.0,779,229.448984
5.0,1400,230.205113
3.0,1000,230.752172
0.0,516,230.983153
1.0,652,231.290518
4.0,1292,231.965425
1.0,637,232.298005
0.0,537,232.533217
1.0,655,232.874113
9.0,1626,233.687644
0.0,513,233.945555
0.0,533,234.200188
5.0,1347,234.881747
6.0,1626,235.715691
0.0,516,235.993795
1.0,723,235.48438
2.0,826,235.953907
1.0,721,236.326714
0.0,537,236.547283
0.0,537,236.789617
6.0,1712,237.625546
0.0,517,237.860237
0.0,532,238.101767
4.0,1132,238.646452
5.0,1322,239.265272
4.0,1204,239.831311
6.0,1547,240.569862
3.0,940,241.0193
2.0,888,241.456598
0.0,520,241.706115
3.0,1108,242.200103
2.0,765,242.537349
0.0,511,242.760261
4.0,1160,243.318213
2.0,902,243.806803
1.0,709,244.159387
2.0,835,244.583533
4.0,1128,245.194208
1.0,638,245.512589
3.0,1042,246.044892
2.0,838,246.46214
3.0,1018,246.990407
1.0,711,247.350601
9.0,1530,248.182721
3.0,1094,248.801011
8.0,1510,249.621753
3.0,949,250.105761
0.0,500,250.364028
1.0,638,250.660963
4.0,1285,251.293018
0.0,529,251.538681
3.0,944,251.993516
0.0,509,252.235703
1.0,646,252.534012
5.0,1412,253.237193
0.0,528,253.495708
5.0,1383,254.154934
0.0,541,254.395126
4.0,1074,254.901936
5.0,1414,255.552191
3.0,1105,256.103103
0.0,519,256.345647
4.0,1186,256.904881
5.0,1339,257.567903
5.0,1352,258.234704
5.0,1410,258.990277
2.0,829,259.416923
4.0,1204,260.046318
5.0,1470,260.82878
2.0,901,261.25294
2.0,815,261.709558
0.0,534,261.967476
9.0,1616,262.83276
11.0,1950,263.900106
2.0,826,264.338692
3.0,935,264.831686
1.0,648,265.130654
1.0,635,265.44646
3.0,993,265.936107
6.0,1592,266.711185
0.0,529,266.944154
1.0,693,267.300963
3.0,1096,266.970716
3.0,949,267.453024
3.0,1004,267.945809
0.0,524,269.067194
5.0,1427,269.781498
2.0,897,270.232891
2.0,756,270.585602
3.0,1025,271.077683
4.0,1047,271.587064
3.0,956,272.063129
2.0,896,272.511139
2.0,823,272.930085
6.0,1467,273.68514
1.0,653,274.056168
4.0,1091,274.642222
4.0,1120,275.231642
3.0,1013,275.777266
1.0,728,276.128057
1.0,645,276.427067
2.0,910,276.883762
2.0,902,277.395134
5.0,1398,278.136527
0.0,506,278.380702
0.0,519,278.661142
1.0,713,279.036188
4.0,1134,279.639485
3.0,1028,280.126998
1.0,629,280.465874
4.0,1204,281.062342
2.0,887,281.521364
2.0,918,281.954955
3.0,1012,282.436329
2.0,828,282.841308
1.0,641,283.115985
5.0,1181,283.695954
5.0,1394,284.228747
2.0,756,284.534153
5.0,1332,285.059138
1.0,640,285.285152
2.0,903,285.611682
1.0,624,285.850394
3.0,955,286.257289
0.0,534,286.476362
3.0,1005,286.878079
1.0,632,287.111747
6.0,1447,287.683807
9.0,1730,288.397902
5.0,1267,288.906917
2.0,823,289.216871
2.0,759,289.509896
3.0,925,289.870191
0.0,529,290.070789
6.0,1539,290.690095
1.0,731,290.990738
4.0,1216,291.46911
0.0,541,291.668802
6.0,1427,292.237269
4.0,1067,292.67549
3.0,927,293.039487
3.0,957,293.398769
3.0,993,293.766946
3.0,1010,294.190048
0.0,533,294.381989
4.0,1208,294.876115
4.0,1141,295.334109
4.0,1167,295.818029
2.0,827,296.14678
2.0,753,296.42032
3.0,1014,296.8014
2.0,843,297.121023
1.0,631,297.342404
3.0,999,297.718658
3.0,1021,298.115449
1.0,653,298.381026
3.0,867,298.714499
2.0,911,299.082572
5.0,1332,298.769744
6.0,1538,299.406743
2.0,833,299.712052
5.0,1345,300.225365
3.0,1099,300.692306
9.0,1626,301.337424
11.0,1962,302.135312
3.0,1031,302.543227
8.0,1411,303.106378
7.0,1806,303.857722
3.0,1032,304.250689
6.0,1302,304.77398
4.0,1289,305.301151
4.0,1291,305.826639
2.0,743,306.13542
2.0,735,306.415814
2.0,804,306.705302
2.0,825,307.019537
5.0,1422,307.578966
2.0,775,307.87238
5.0,1171,308.32639
0.0,535,308.532176
7.0,1554,309.167745
8.0,1426,309.712184
1.0,640,309.948882
3.0,939,310.307219
